no,raw_tweet,clean_tweets,sentiment_label,,,Kolum,Deskripsi,
1,@minamin2403 not habits.. tekanan,"['@minamin2403 bukan kebiasaan. tekanan', '@minamin2403 bukan kebiasaan. tekanan']",isi ini,,,A,Nomer data,
2,"@roycosasa first luv ku di dunia fangirl sih 1D sm 5sos ra trs sblm belok ke wanna one ke austin,shawn,cody gt  aku cuma tau aja sih magcon tp ga ngikutin bgt hehehehe","['@roycosasa cinta pertama ku di dunia fangirl sih 1D sama 5sos ra terus sebelum belok ke wanna one ke austin,shawn,cody gitu aku cuma tahu saja sih magcon tapi tidak mengikuti sangat hehehehe', '@roycosasa cinta pertama ku di dunia fangirl sih 1D sama 5sos ra terus sebelum belok ke wanna one ke austin,shawn,cody gitu aku cuma tahu saja sih magcon tapi tidak mengikuti sangat hehehehe']",isi ini,,,B,Raw tweet/tweet asli,
3,"@caratsmarket handcream jp 110k , photo set carland 30k , tc ideal cut/final scene 20k , ada shopee jg https://t.co/gc2ciTNTWv","['@caratsmarket krim tangan jp 110k , set foto carland 30k , potongan ideal / adegan terakhir 20k , ada shopee juga https://t.co/gc2ciTNTWv', '@caratsmarket krim tangan jp 110k , set foto carland 30k , potongan ideal / adegan terakhir 20k , ada shopee juga https://t.co/gc2ciTNTWv']",isi ini,,,C,tweet yang sudah diubah menjadi bahasa indonesia/clean tweet,
4,@arkimo Apa bedanya donut sama doughtnut?,"['@arkimo apa bedanya donat sama donat?', '@arkimo apa bedanya donut sama doughnut?']",isi ini,,,D,mengisi label sentiment berdasarkan data yang ada di kolum B/C dengan Positive/negative/neutral,
5,"@rsyswanto  Baik kkak, akan kami bantu respon via DM namun sebelumnya berkenan follow back kami terlebih dahulu? Guna kami bantu infokann detailnya. Kami tunggu konfirmasi selanjutnya. Trims  -Raina","['@rsyswanto baik kakak, akan kami bantu tanggapi via dm namun sebelumnya berkenan ikuti kembali kami terlebih dahulu? guna kami bantu infokan detailnya. kami tunggu konfirmasi selanjutnya. trims  - raina', '@rsyswanto baik kakak, akan kami bantu respon via dm namun sebelumnya berkenan ikuti kembali kami terlebih dahulu? guna kami bantu infokan detailnya. kami tunggu konfirmasi selanjutnya. trims  - raina']",isi ini,,,Contoh sentiment label,,
6,"Penang Food Rocks ! Even in Jakarta ! But the menu not very Penang le ! #penangfood #penang @ Jakarta, Indonesia https://t.co/LUtaWBfkeH","['makanan penang keren ! bahkan di Jakarta ! tetapi menu tidak terlalu penang le ! #penangfood #penang di jakarta, indonesia https://t.co/LUtaWBfkeH', 'makanan penang keren ! bahkan di Jakarta ! tetapi menu tidak terlalu penang le ! #penangfood #penang di jakarta, indonesia https://t.co/LUtaWBfkeH']",isi ini,,,Code-Mixed Tweet,Approximate Indonesia Translation,Sentiment Label
7,Babi fillet enak not bad lah tapi haram :(,"['babi fillet enak tidak buruk lah tapi haram :(', 'babi fillet enak tidak buruk lah tapi haram :(']",isi ini,,,"All the best Team Indonesia, bawa pulang juara","Yang terbaik untuk tim Indonesia, bawa pulang juara",Positive
8,@korantempo mungkin sama komen nya dia waktu dapet gelar santri trus gak lama jd ulama... it's not a good example definitely.,"['@korantempo mungkin sama komentar nya dia waktu dapat gelar santri terus tidak lama jadi ulama. itu bukan contoh yang baik pastinya.', '@korantempo mungkin sama komentar nya dia waktu dapat gelar santri terus tidak lama jadi ulama. itu bukan contoh yang baik pastinya.']",isi ini,,,Its kinda weird while you chat with someone your not really past. Terus dia entah pura pura atau emang gatau dah beneran apa engga lupa dan ngapus kontak...Emosi.,agak aneh saat kamu mengobrol dengan seseorang yang belum benar-benar lewat. terus dia entah pura-pura atau memang tidak tahu dah beneran apa tidak lupa dan menghapus kontak. emosi.,Negative 
9,"@irwangunadiart No....not like that.....kalau Anda sering hunting bareng, lalu sering baca koran, terasa mana foto setingan dan mana dari realita asli....","['@irwangunadiart tidak. tidak seperti itu. kalau anda sering berburu bersama, lalu sering baca koran, terasa mana foto setting dan mana dari realita asli.', '@irwangunadiart tidak. tidak seperti itu. kalau anda sering berburu bersama, lalu sering baca koran, terasa mana foto setting dan mana dari realita asli.']",isi ini,,,,,
10,Terus nyala tp bwt speedtest ajah ga bs server not found @FirstMediaCares jgn suruh saya beli leptop drmh hp cm 1 baca inbound dulu sebelum bales yah 10336740 https://t.co/pzj4aeaBan,"['terus nyala tapi buat test kecepatan aja tidak bisa server tidak ditemukan @FirstMediaCares janagn suruh saya beli laptop di rumah hp cuma 1 baca masuk dulu sebelum balas yah 10336740 https://t.co/pzj4aeaBan', 'terus nyala tapi buat test kecepatan aja tidak bisa server tidak ditemukan @FirstMediaCares jangan suruh saya beli laptop di rumah hp cuma 1 baca masuk dulu sebelum balas yah 10336740 https://t.co/pzj4aeaBan']",isi ini,,,,,
11,Not yang sederhana dengan lirik yang dalam bisa trending di spotify yah..Heres a song for you... Waktu Yang Salah (feat. Thantri) by Fiersa Besari.https://t.co/NR2pagvoW8,"['not yang sederhana dengan lirik yang dalam bisa tren di spotify ya. Ini lagu untukmu. waktu yang salah (feat. thantri) by fiersa besari. https://t.co/NR2pagvoW8', 'not yang sederhana dengan lirik yang dalam bisa tren di spotify ya. Ini lagu untukmu. waktu yang salah (feat. thantri) by fiersa besari. https://t.co/NR2pagvoW8']",isi ini,,,,,
12,"@indomymenfess Aku tim debat sekolah, not so good juga sih, sering masih ada salah, tapi selama latihan awal-awal klub, fokus senior aku maksa kita buat terbiasa ngomong sendiri/ngomong depan publik.","['@indomymenfess Aku tim debat sekolah, tidak begitu baik juga sih, sering masih ada salah, tapi selama latihan awal-awal klub, fokus senior aku paksa kita buat terbiasa ngomong sendiri/ngomong depan publik.', '@indomymenfess Aku tim debat sekolah, tidak begitu baik juga sih, sering masih ada salah, tapi selama latihan awal-awal klub, fokus senior aku memaksa kita buat terbiasa berbicara sendiri/berbicara depan publik.']",isi ini,,,,,
13,"Well tergantung, kalo maksud lu sukses itu bs hidup enak makan enak kmn2 naik mobil bapak lu ya oke..Tapi kalo bisanya cm ngabisin duit,smp suatu saat bnr2 abis,lu ga punya skill apa2,ada warisan jg gbs ngatur,lu punya apa? Msh bs disebut sukses?.Sukses tergantung lu bkn bapak lu https://t.co/o9EfERC6YR","['baik tergantung, kalau maksud kamu sukses itu bisa hidup enak makan enak kemana-mana naik mobil bapak kamu ya oke. tapi kalo bisanya cuma menghabiskan duit, sampai suatu saat benar-benar habis, kamu tidak punya keterampilan apa-apa, ada warisan juga tidak bisa mengatur, kamu punya apa? masih bisa disebut sukses? sukses tergantung kamu bukan bapak kamu https://t.co/o9EfERC6YR', 'baik tergantung, kalau maksud kamu sukses itu bisa hidup enak makan enak kemana-mana naik mobil bapak kamu ya oke. tapi kalo bisanya cuma menghabiskan uang, sampai suatu saat benar-benar habis, kamu tidak punya keterampilan apa-apa, ada warisan juga tidak bisa mengatur, kamu punya apa? masih bisa disebut sukses? sukses tergantung kamu bukan bapak kamu https://t.co/o9EfERC6YR']",isi ini,,,,,
14,"""Kegenitan generasi tua"" wow jadi lu bilang gw genit? Well at least some generation can take jokes...but maybe not you","['""kegenitan generasi tua"" wow jadi kamu bilang aku genit? setidaknya beberapa generasi bisa bercanda. tapi mungkin bukan kamu', '""kegenitan generasi tua"" wow jadi kamu bilang aku genit? setidaknya beberapa generasi bisa bercanda. tapi mungkin bukan kamu']",isi ini,,,,,
15,Its kinda weird while you chat with someone your not really past. Terus dia entah pura pura atau emang gatau dah beneran apa engga lupa dan ngapus kontak...Emosi.,"['agak aneh saat kamu mengobrol dengan seseorang yang belum benar-benar lewat. terus dia entah pura-pura atau memang tidak tahu dah beneran apa tidak lupa dan menghapus kontak. emosi.', 'agak aneh saat kamu mengobrol dengan seseorang yang belum benar-benar lewat. terus dia entah pura-pura atau memang tidak tahu dah beneran apa tidak lupa dan menghapus kontak. emosi.']",isi ini,,,,,
