index,sentimen,Tweet
0,0,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
1,0,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati 
2,1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p 
3,1,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu
4,0,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
6,0,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
7,1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
8,0,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' 
9,0,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
16,1,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla 
17,0,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
18,1,aah kamu aja mas aku lebih suka diayomi 
22,1,mau bantu aku nabung 
23,0,kamu jahat dubu lt 
27,0,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
28,1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya 
29,1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha 
31,1,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba 
33,0,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin 
34,0,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil 
35,1,yuk netweetjen dibantu
36,1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
41,1,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
42,1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
43,1,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat 
44,0,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t 
45,1,diremes di enyot ngedusel dusel di nenen kamu wah mantap
47,0,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe 
48,0,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
49,1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e 
51,0,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib 
54,0,pacar kamu sibuk ya kok tumben komen wassap story aku 
55,0,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber 
56,0,lepaskanlah dia tidak mau kamuadarlah jangan membatu 
57,0,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
58,0,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau
59,0,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk 
60,1,pilih salah satu yang paling kamu nyaman
61,1,aku sendiri jugaaa yuk barengan
62,0,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire
64,0,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per 
65,1,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j 
66,1,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego 
67,1,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal 
69,1,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak
70,0,kamu ga laku laku unn 
71,0,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada 
73,0,iyaaaa kasian donghae nya aku kelelep 
76,1,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm 
79,0,aku juga pernah dah kek gitu 2x gaada hasil percumaa
80,0,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
81,1,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
82,1,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau 
83,0,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii 
84,0,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg 
85,0,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu
86,1,aku nk walk in ajelah senang
87,1,jadilah seperti aku
88,1,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat 
90,0,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
91,1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
92,1,hahaa aku juga ga ngerti tadi tp asal jwb aja
93,1,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men 
94,0,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu 
95,1,aku terhibur hahahahahahahahahahahaha
98,1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber 
